"Si","Class"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.587201166912824,"1"
-0.586199202316126,"1"
-0.586199202316126,"1"
-0.586199202316126,"1"
-0.586199202316126,"1"
-0.586199202316126,"1"
-0.585853697282781,"1"
-0.585515102350104,"1"
-0.585508192249437,"1"
-0.585508192249437,"1"
-0.585508192249437,"1"
-0.585508192249437,"1"
-0.58517996246776,"1"
-0.585162687216093,"1"
-0.585162687216093,"1"
-0.584851732686083,"1"
-0.584851732686083,"1"
-0.584851732686083,"1"
-0.584851732686083,"1"
-0.584851732686083,"1"
-0.584506227652739,"1"
-0.584506227652739,"1"
-0.584506227652739,"1"
-0.584506227652739,"1"
-0.584160722619395,"1"
-0.584160722619395,"1"
-0.583815217586051,"1"
-0.583815217586051,"1"
-0.583815217586051,"1"
-0.583815217586051,"1"
-0.583815217586051,"1"
-0.583815217586051,"1"
-0.583746116579382,"1"
-0.583746116579382,"1"
-0.583746116579382,"1"
-0.583746116579382,"1"
-0.583746116579382,"1"
-0.583746116579382,"1"
-0.583400611546038,"1"
-0.583400611546038,"1"
-0.583400611546038,"1"
-0.583055106512694,"1"
-0.583055106512694,"1"
-0.583055106512694,"1"
-0.583055106512694,"1"
-0.583055106512694,"1"
-0.583055106512694,"1"
-0.58270960147935,"1"
-0.58270960147935,"1"
-0.58270960147935,"1"
-0.58270960147935,"1"
-0.58270960147935,"1"
-0.58270960147935,"1"
-0.582256989885669,"1"
-0.582156793425999,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.582018591412661,"1"
-0.581327581345973,"1"
-0.581327581345973,"1"
-0.581327581345973,"1"
-0.581327581345973,"1"
-0.581327581345973,"1"
-0.581120278325967,"1"
-0.581120278325967,"1"
-0.581020081866297,"1"
-0.580982076312629,"1"
-0.580982076312629,"1"
-0.580982076312629,"1"
-0.580982076312629,"1"
-0.580982076312629,"1"
-0.580636571279285,"1"
-0.580463818762613,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580291066245941,"1"
-0.580118313729268,"1"
-0.579945561212596,"1"
-0.579945561212596,"1"
-0.579945561212596,"1"
-0.579945561212596,"1"
-0.579945561212596,"1"
-0.579783173846925,"1"
-0.579783173846925,"1"
-0.579783173846925,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578909046112564,"1"
-0.578770844099226,"1"
-0.578546265827553,"1"
-0.578546265827553,"1"
-0.578218036045876,"1"
-0.578218036045876,"1"
-0.578218036045876,"1"
-0.577872531012531,"1"
-0.577872531012531,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.577181520945843,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.576836015912499,"1"
-0.57676691490583,"1"
-0.57676691490583,"1"
-0.57676691490583,"1"
-0.576490510879155,"1"
-0.576490510879155,"1"
-0.576490510879155,"1"
-0.576490510879155,"1"
-0.576490510879155,"1"
-0.576421409872486,"1"
-0.576421409872486,"1"
-0.576421409872486,"1"
-0.576421409872486,"1"
-0.576145005845811,"1"
-0.576145005845811,"1"
-0.576145005845811,"1"
-0.576145005845811,"1"
-0.576145005845811,"1"
-0.576075904839142,"1"
-0.576075904839142,"1"
-0.576072449788808,"1"
-0.575799500812467,"1"
-0.575799500812467,"1"
-0.575730399805798,"1"
-0.575730399805798,"1"
-0.575730399805798,"1"
-0.575453995779122,"1"
-0.575453995779122,"1"
-0.575108490745778,"1"
-0.575108490745778,"1"
-0.574762985712434,"1"
-0.574762985712434,"1"
-0.574762985712434,"1"
-0.57441748067909,"1"
-0.57441748067909,"1"
-0.57441748067909,"1"
-0.574382930175755,"1"
-0.574071975645746,"1"
-0.574071975645746,"1"
-0.574071975645746,"1"
-0.574071975645746,"1"
-0.574071975645746,"1"
-0.574071975645746,"1"
-0.573726470612401,"1"
-0.573726470612401,"1"
-0.573726470612401,"1"
-0.573726470612401,"1"
-0.573380965579057,"1"
-0.573380965579057,"1"
-0.573208213062385,"1"
-0.573139112055716,"1"
-0.573035460545713,"1"
-0.573035460545713,"1"
-0.573035460545713,"1"
-0.573035460545713,"1"
-0.572759056519038,"1"
-0.572689955512369,"1"
-0.572655405009035,"1"
-0.572344450479025,"1"
-0.572344450479025,"1"
-0.572344450479025,"1"
-0.572344450479025,"1"
-0.572344450479025,"1"
-0.572344450479025,"1"
-0.572150967660352,"1"
-0.572137147459018,"1"
-0.572033495949015,"1"
-0.571998945445681,"1"
-0.571998945445681,"1"
-0.571998945445681,"1"
-0.571998945445681,"1"
-0.571687990915671,"1"
-0.571687990915671,"1"
-0.571687990915671,"1"
-0.571687990915671,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571653440412337,"1"
-0.571342485882327,"1"
-0.571307935378992,"1"
-0.571307935378992,"1"
-0.571128272761653,"1"
-0.571128272761653,"1"
-0.570962430345648,"1"
-0.570962430345648,"1"
-0.570616925312304,"1"
-0.570616925312304,"1"
-0.570409622292298,"1"
-0.57027142027896,"1"
-0.57027142027896,"1"
-0.57027142027896,"1"
-0.57027142027896,"1"
-0.57027142027896,"1"
-0.570064117258953,"1"
-0.570029566755619,"1"
-0.570029566755619,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569925915245616,"1"
-0.569891364742281,"1"
-0.569891364742281,"1"
-0.569891364742281,"1"
-0.569822263735613,"1"
-0.569718612225609,"1"
-0.569718612225609,"1"
-0.56964951121894,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569580410212272,"1"
-0.569545859708937,"1"
-0.569511309205603,"1"
-0.569511309205603,"1"
-0.569234905178927,"1"
-0.569234905178927,"1"
-0.569234905178927,"1"
-0.569234905178927,"1"
-0.569131253668924,"1"
-0.568889400145583,"1"
-0.568889400145583,"1"
-0.568647546622242,"1"
-0.568405693098901,"1"
-0.568198390078895,"1"
-0.568198390078895,"1"
-0.568198390078895,"1"
-0.568025637562223,"1"
-0.567956536555554,"1"
-0.567852885045551,"1"
-0.567852885045551,"1"
-0.567852885045551,"1"
-0.56761103152221,"1"
-0.567507380012207,"1"
-0.567417548703537,"1"
-0.567417548703537,"1"
-0.567417548703537,"1"
-0.567161874978863,"1"
-0.567161874978863,"1"
-0.567161874978863,"1"
-0.567161874978863,"1"
-0.567161874978863,"1"
-0.567127324475528,"1"
-0.56698912246219,"1"
-0.566885470952187,"1"
-0.566885470952187,"1"
-0.566885470952187,"1"
-0.566885470952187,"1"
-0.566885470952187,"1"
-0.566816369945518,"1"
-0.566816369945518,"1"
-0.566816369945518,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566470864912174,"1"
-0.566180640684165,"1"
-0.566180640684165,"1"
-0.56612535987883,"1"
-0.56612535987883,"1"
-0.566090809375495,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565779854845486,"1"
-0.565641652832148,"1"
-0.565296147798804,"1"
-0.565088844778798,"1"
-0.564947187715126,"1"
-0.564947187715126,"1"
-0.564857356406457,"1"
-0.564857356406457,"1"
-0.564857356406457,"1"
-0.564605137732116,"1"
-0.564605137732116,"1"
-0.564152526138435,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.564052329678765,"1"
-0.563710279695754,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
-0.563706824645421,"1"
